hospital_id,name,city,state,pincode,address,latitude,longitude,specialties,procedures,cost_min,cost_max,currency,facilities,accreditation,pmjay_empanelled,annual_procedure_volume,outcome_metric,icu_beds,source_type,verification_status,source_url,last_verified,last_updated,data_status,condition_tag,review_status,phone,facility_type,date_of_establishment,success_rates
PBJAL-011,ARORA EYE HOSPITAL & RETINA CENTRE,Jalandhar,Punjab,990011,"Jalandhar, Punjab (street address not published in source)",31.333732,75.608903,"{Ophthalmology,Ophthalmic Surgery}","{Cataract Surgery,LASIK Evaluation,Phacoemulsification,Vitrectomy}",98000,449405,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{NABH-style demo},True,1323,Synthetic demo composite outcome: 96%,4,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,eye,pending,9915595940,Private,1986-10-02,"{""Ophthalmology"":94,""Ophthalmic Surgery"":97}"
PBJAL-012,ARORA NURSING HOME PHILLAUR,Jalandhar,Punjab,990012,"Jalandhar, Punjab (street address not published in source)",31.345780,75.588959,"{ENT,Head & Neck Surgery}","{Tonsillectomy,Endoscopic Sinus Surgery,Thyroid Surgery,Neck Dissection}",101000,371794,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{ISO-style demo},True,1399,Synthetic demo composite outcome: 96%,6,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,ent,pending,9878860398,Private,1993-01-07,"{""ENT"":88,""Head & Neck Surgery"":85}"
PBJAL-013,BBC Heart Care,Jalandhar,Punjab,990013,"Jalandhar, Punjab (street address not published in source)",31.313095,75.566348,"{Dermatology,Cosmetology}","{Skin Biopsy,Laser Procedures,Hair Restoration Consultation,Laser Therapy}",104000,366722,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{Quality-certified demo},True,784,Synthetic demo composite outcome: 93%,12,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,dermatology,pending,9915015703,Private,2000-04-12,"{""Dermatology"":89,""Cosmetology"":90}"
PBJAL-014,Capitol Hospital,Jalandhar,Punjab,990014,"Jalandhar, Punjab (street address not published in source)",31.337540,75.562483,"{Psychiatry,Behavioral Health}","{Psychiatric Consultation,Counselling,Psychological Assessment}",107000,570856,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{Teaching hospital demo},True,1389,Synthetic demo composite outcome: 92%,14,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,mental-health,pending,8872411007,Private,2007-07-17,"{""Psychiatry"":88,""Behavioral Health"":85}"
PBJAL-015,CARE BEST SUPERSPECIALITY HOSPITAL,Jalandhar,Punjab,990015,"Jalandhar, Punjab (street address not published in source)",31.360119,75.547592,"{Emergency Medicine,Trauma Care}","{Emergency Stabilization,Trauma Resuscitation,Trauma Stabilization,Fracture Management}",110000,272502,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{Not specified / demo},True,513,Synthetic demo composite outcome: 94%,7,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,emergency,pending,9501041718,Private,2014-10-22,"{""Emergency Medicine"":88,""Trauma Care"":91}"
PBJAL-016,CHC Adampur,Jalandhar,Punjab,990016,"Jalandhar, Punjab (street address not published in source)",31.295450,75.565625,"{Endocrinology,Diabetology}","{Diabetes Management,Thyroid Evaluation,Diabetes Screening,Insulin Management}",93000,254177,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{NABH-style demo},True,593,Synthetic demo composite outcome: 97%,11,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,diabetes,pending,9872517360,Public,1965-01-27,"{""Endocrinology"":93,""Diabetology"":94}"
PBJAL-017,CHC Apra,Jalandhar,Punjab,990017,"Jalandhar, Punjab (street address not published in source)",31.296287,75.580976,"{Rheumatology,Pain Medicine}","{Arthritis Management,Autoimmune Evaluation,Pain Clinic,Nerve Blocks}",45000,149856,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{ISO-style demo},True,1783,Synthetic demo composite outcome: 89%,4,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,cardiac,pending,6280316821,Public,1972-04-05,"{""Rheumatology"":87,""Pain Medicine"":85}"
PBJAL-018,CHC Barapind,Jalandhar,Punjab,990018,"Jalandhar, Punjab (street address not published in source)",31.304989,75.554771,"{General Medicine,Family Medicine}","{Outpatient Consultation,Health Screening,Primary Care}",48000,262789,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{Quality-certified demo},True,803,Synthetic demo composite outcome: 92%,6,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,general-surgery,pending,9872221547,Public,1979-07-10,"{""General Medicine"":92,""Family Medicine"":90}"
PBJAL-019,CHC Bundala,Jalandhar,Punjab,990019,"Jalandhar, Punjab (street address not published in source)",31.325933,75.559311,"{Cardiology,Internal Medicine}","{ECG,Echocardiography,Consultation,Diagnostic Evaluation}",51000,237102,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{Teaching hospital demo},True,1030,Synthetic demo composite outcome: 96%,11,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,orthopedic,pending,9915527462,Public,1986-10-15,"{""Cardiology"":93,""Internal Medicine"":93}"
PBJAL-020,CHC Kalabakra,Jalandhar,Punjab,990020,"Jalandhar, Punjab (street address not published in source)",31.310233,75.594844,"{Neurology,Neurosurgery}","{EEG,MRI Brain,Craniotomy,Spine Surgery}",54000,180685,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{Not specified / demo},True,523,Synthetic demo composite outcome: 89%,5,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,general-surgery,pending,9815061919,Public,1993-01-20,"{""Neurology"":93,""Neurosurgery"":94}"
PBJAL-021,CHC Kartarpur,Jalandhar,Punjab,990021,"Jalandhar, Punjab (street address not published in source)",31.309347,75.594963,"{Orthopedics,Joint Replacement}","{Fracture Fixation,Arthroscopy,Total Knee Replacement,Total Hip Replacement}",57000,313511,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{NABH-style demo},True,565,Synthetic demo composite outcome: 89%,8,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,orthopedic,pending,9814645564,Public,2000-04-25,"{""Orthopedics"":91,""Joint Replacement"":91}"
PBJAL-022,CHC LOHIAN KHAS,Jalandhar,Punjab,990022,"Jalandhar, Punjab (street address not published in source)",31.343133,75.589737,"{General Surgery,Laparoscopic Surgery}","{Appendectomy,Hernia Repair,Laparoscopic Cholecystectomy,Laparoscopic Hernia Repair}",60000,216824,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{ISO-style demo},True,534,Synthetic demo composite outcome: 97%,18,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,general-surgery,pending,9779208787,Public,2007-07-03,"{""General Surgery"":84,""Laparoscopic Surgery"":88}"
PBJAL-023,CHC NURMAHAL,Jalandhar,Punjab,990023,"Jalandhar, Punjab (street address not published in source)",31.314443,75.554387,"{Gastroenterology,Hepatology}","{Endoscopy,Colonoscopy,Liver Function Assessment,FibroScan}",63000,180232,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{Quality-certified demo},True,940,Synthetic demo composite outcome: 92%,2,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,gastro,pending,7986099022,Public,2014-10-08,"{""Gastroenterology"":91,""Hepatology"":92}"
PBJAL-024,CHC Shahkot,Jalandhar,Punjab,990024,"Jalandhar, Punjab (street address not published in source)",31.341379,75.600244,"{Nephrology,Urology}","{Hemodialysis,Kidney Biopsy,TURP,Ureteroscopy}",66000,257023,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{Teaching hospital demo},True,1474,Synthetic demo composite outcome: 93%,7,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,oncology,pending,9872221549,Public,1965-01-13,"{""Nephrology"":94,""Urology"":94}"
PBJAL-025,CHC Shankar,Jalandhar,Punjab,990025,"Jalandhar, Punjab (street address not published in source)",31.346432,75.609879,"{Pulmonology,Critical Care}","{Bronchoscopy,Pulmonary Function Test,Ventilator Support,Sepsis Management}",69000,296312,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{Not specified / demo},True,1409,Synthetic demo composite outcome: 86%,16,public,simulated,https://healthcardhospitallist.com/punjab/jalandhar,2026-09-24,2026-09-24,synthetic_demo_data,women-health,pending,8699331313,Public,1972-04-18,"{""Pulmonology"":85,""Critical Care"":85}"
PBAMR-001,AKASHDEEP HOSPITAL,Amritsar,Punjab,990026,"Amritsar, Punjab (street address not published in source)",31.662748,74.841168,"{Oncology,Radiation Oncology}","{Chemotherapy,Cancer Screening,Radiotherapy Planning,External Beam Radiotherapy}",92000,311848,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{NABH-style demo},True,777,Synthetic demo composite outcome: 86%,14,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,oncology,pending,8054001595,Private,1979-07-23,"{""Oncology"":91,""Radiation Oncology"":88}"
PBAMR-002,ASG EYE HOSPITAL,Amritsar,Punjab,990027,"Amritsar, Punjab (street address not published in source)",31.657888,74.851821,"{Obstetrics & Gynecology,Women’s Health}","{Normal Delivery,Cesarean Section,Antenatal Care,Gynecology Consultation}",95000,243050,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{ISO-style demo},True,480,Synthetic demo composite outcome: 91%,8,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,women-health,pending,8875029991,Private,1986-10-01,"{""Obstetrics & Gynecology"":95,""Women’s Health"":99}"
PBAMR-003,ATLANTIS HOSPITAL A UNIT OF ATLANTIS HEALTH CARE,Amritsar,Punjab,990028,"Amritsar, Punjab (street address not published in source)",31.606895,74.900140,"{Pediatrics,Neonatology}","{Pediatric Consultation,Vaccination,NICU Care,Newborn Screening}",98000,402876,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{Quality-certified demo},True,809,Synthetic demo composite outcome: 90%,9,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,pediatrics,pending,8568930224,Private,1993-01-06,"{""Pediatrics"":92,""Neonatology"":90}"
PBAMR-004,BAJWA HOSPITAL,Amritsar,Punjab,990029,"Amritsar, Punjab (street address not published in source)",31.655550,74.848495,"{Ophthalmology,Ophthalmic Surgery}","{Cataract Surgery,LASIK Evaluation,Phacoemulsification,Vitrectomy}",101000,266444,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{Teaching hospital demo},True,758,Synthetic demo composite outcome: 86%,12,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,dermatology,pending,9915715601,Private,2000-04-11,"{""Ophthalmology"":90,""Ophthalmic Surgery"":87}"
PBAMR-005,BHULLAR HOSPITAL,Amritsar,Punjab,990030,"Amritsar, Punjab (street address not published in source)",31.626449,74.841522,"{ENT,Head & Neck Surgery}","{Tonsillectomy,Endoscopic Sinus Surgery,Thyroid Surgery,Neck Dissection}",104000,347772,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{Not specified / demo},True,870,Synthetic demo composite outcome: 97%,2,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,ent,pending,9888060435,Private,2007-07-16,"{""ENT"":91,""Head & Neck Surgery"":91}"
PBAMR-006,CAREWELL HEART & SUPER SPECIALTY HOSPITAL,Amritsar,Punjab,990031,"Amritsar, Punjab (street address not published in source)",31.665087,74.846022,"{Dermatology,Cosmetology}","{Skin Biopsy,Laser Procedures,Hair Restoration Consultation,Laser Therapy}",107000,583163,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{NABH-style demo},True,590,Synthetic demo composite outcome: 94%,17,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,dermatology,pending,9872996069,Private,2014-10-21,"{""Dermatology"":93,""Cosmetology"":92}"
PBAMR-007,chandan hospital,Amritsar,Punjab,990032,"Amritsar, Punjab (street address not published in source)",31.623026,74.853145,"{Psychiatry,Behavioral Health}","{Psychiatric Consultation,Counselling,Psychological Assessment}",110000,294692,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{ISO-style demo},True,213,Synthetic demo composite outcome: 97%,11,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,diabetes,pending,9815103499,Private,1965-01-26,"{""Psychiatry"":99,""Behavioral Health"":97}"
PBAMR-008,CHC Lopoke,Amritsar,Punjab,990033,"Amritsar, Punjab (street address not published in source)",31.659921,74.870395,"{Emergency Medicine,Trauma Care}","{Emergency Stabilization,Trauma Resuscitation,Trauma Stabilization,Fracture Management}",93000,407431,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{Quality-certified demo},True,623,Synthetic demo composite outcome: 97%,11,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,emergency,pending,9653753676,Public,1972-04-04,"{""Emergency Medicine"":88,""Trauma Care"":92}"
PBAMR-009,CHC MAJITHA,Amritsar,Punjab,990034,"Amritsar, Punjab (street address not published in source)",31.623050,74.888162,"{Endocrinology,Diabetology}","{Diabetes Management,Thyroid Evaluation,Diabetes Screening,Insulin Management}",45000,163793,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{Teaching hospital demo},True,1234,Synthetic demo composite outcome: 90%,13,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,neurological,pending,9877290402,Public,1979-07-09,"{""Endocrinology"":86,""Diabetology"":90}"
PBAMR-010,CHC MANAWALA,Amritsar,Punjab,990035,"Amritsar, Punjab (street address not published in source)",31.619149,74.896891,"{Rheumatology,Pain Medicine}","{Arthritis Management,Autoimmune Evaluation,Pain Clinic,Nerve Blocks}",48000,270843,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{Not specified / demo},True,247,Synthetic demo composite outcome: 87%,10,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,orthopedic,pending,8146847766,Public,1986-10-14,"{""Rheumatology"":90,""Pain Medicine"":93}"
PBAMR-011,CHC Mehta,Amritsar,Punjab,990036,"Amritsar, Punjab (street address not published in source)",31.601124,74.902077,"{General Medicine,Family Medicine}","{Outpatient Consultation,Health Screening,Primary Care}",51000,230909,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{NABH-style demo},True,726,Synthetic demo composite outcome: 96%,10,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,general-surgery,pending,9855439109,Public,1993-01-19,"{""General Medicine"":93,""Family Medicine"":91}"
PBAMR-012,Chc tarsikka,Amritsar,Punjab,990037,"Amritsar, Punjab (street address not published in source)",31.607365,74.891688,"{Cardiology,Internal Medicine}","{ECG,Echocardiography,Consultation,Diagnostic Evaluation}",54000,269246,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{ISO-style demo},True,546,Synthetic demo composite outcome: 88%,2,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,gastro,pending,9814798961,Public,2000-04-24,"{""Cardiology"":89,""Internal Medicine"":91}"
PBAMR-013,CHC VERKA,Amritsar,Punjab,990038,"Amritsar, Punjab (street address not published in source)",31.611881,74.873508,"{Neurology,Neurosurgery}","{EEG,MRI Brain,Craniotomy,Spine Surgery}",57000,273352,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{Quality-certified demo},True,651,Synthetic demo composite outcome: 96%,3,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,renal,pending,7888329091,Public,2007-07-02,"{""Neurology"":93,""Neurosurgery"":90}"
PBAMR-014,choudhary ent and maternity,Amritsar,Punjab,990039,"Amritsar, Punjab (street address not published in source)",31.639358,74.890430,"{Orthopedics,Joint Replacement}","{Fracture Fixation,Arthroscopy,Total Knee Replacement,Total Hip Replacement}",80000,291297,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{Teaching hospital demo},True,1608,Synthetic demo composite outcome: 93%,16,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,orthopedic,pending,9815064995,Private,2014-10-07,"{""Orthopedics"":87,""Joint Replacement"":91}"
PBAMR-015,CITY HOSPITAL,Amritsar,Punjab,990040,"Amritsar, Punjab (street address not published in source)",31.633616,74.882669,"{General Surgery,Laparoscopic Surgery}","{Appendectomy,Hernia Repair,Laparoscopic Cholecystectomy,Laparoscopic Hernia Repair}",83000,438079,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{Not specified / demo},True,1266,Synthetic demo composite outcome: 87%,16,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,general-surgery,pending,8283822558,Private,1965-01-12,"{""General Surgery"":89,""Laparoscopic Surgery"":83}"
PBAMR-016,czone multispeciality hospital,Amritsar,Punjab,990041,"Amritsar, Punjab (street address not published in source)",31.629042,74.861382,"{Gastroenterology,Hepatology}","{Endoscopy,Colonoscopy,Liver Function Assessment,FibroScan}",86000,480664,INR,"{Operation Theatre,ICU,Radiology,Ambulance}",{NABH-style demo},True,379,Synthetic demo composite outcome: 97%,16,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,gastro,pending,7814848734,Private,1972-04-17,"{""Gastroenterology"":96,""Hepatology"":98}"
PBAMR-017,DEV HOSPITAL,Amritsar,Punjab,990042,"Amritsar, Punjab (street address not published in source)",31.650219,74.841148,"{Nephrology,Urology}","{Hemodialysis,Kidney Biopsy,TURP,Ureteroscopy}",89000,330531,INR,"{Cath Lab,ICU,Cardiac Diagnostics,Pharmacy}",{ISO-style demo},True,1592,Synthetic demo composite outcome: 90%,16,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,pediatrics,pending,9417273646,Private,1979-07-22,"{""Nephrology"":89,""Urology"":93}"
PBAMR-018,DH Amritsar,Amritsar,Punjab,990043,"Amritsar, Punjab (street address not published in source)",31.652019,74.891706,"{Pulmonology,Critical Care}","{Bronchoscopy,Pulmonary Function Test,Ventilator Support,Sepsis Management}",72000,176825,INR,"{24x7 Emergency,Pharmacy,Diagnostic Lab,Ambulance}",{Quality-certified demo},True,1351,Synthetic demo composite outcome: 96%,18,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,eye,pending,9779389566,Public,1986-10-27,"{""Pulmonology"":99,""Critical Care"":96}"
PBAMR-019,DHALIWAL HOSPITAL,Amritsar,Punjab,990044,"Amritsar, Punjab (street address not published in source)",31.652547,74.867114,"{Oncology,Radiation Oncology}","{Chemotherapy,Cancer Screening,Radiotherapy Planning,External Beam Radiotherapy}",75000,234598,INR,"{ICU,24x7 Emergency,Blood Bank,Radiology}",{Teaching hospital demo},True,768,Synthetic demo composite outcome: 97%,12,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,oncology,pending,6284827239,Public,1993-01-05,"{""Oncology"":85,""Radiation Oncology"":91}"
PBAMR-020,DHINGRA GENERAL HOSPITAL,Amritsar,Punjab,990045,"Amritsar, Punjab (street address not published in source)",31.621476,74.903614,"{Obstetrics & Gynecology,Women’s Health}","{Normal Delivery,Cesarean Section,Antenatal Care,Gynecology Consultation}",98000,277636,INR,"{NICU,Pharmacy,Diagnostic Lab,24x7 Emergency}",{Not specified / demo},True,712,Synthetic demo composite outcome: 88%,11,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,women-health,pending,9417881616,Private,2000-04-10,"{""Obstetrics & Gynecology"":94,""Women’s Health"":92}"
PBAMR-021,DHRUV MATERNITY AND NURSING HOME,Amritsar,Punjab,990046,"Amritsar, Punjab (street address not published in source)",31.653662,74.899921,"{Pediatrics,Neonatology}","{Pediatric Consultation,Vaccination,NICU Care,Newborn Screening}",101000,413868,INR,"{Dialysis Unit,ICU,Diagnostic Lab,Pharmacy}",{NABH-style demo},True,1397,Synthetic demo composite outcome: 92%,11,public,simulated,https://healthcardhospitallist.com/punjab/amritsar,2026-09-24,2026-09-24,synthetic_demo_data,pediatrics,pending,7814445660,Private,2007-07-15,"{""Pediatrics"":93,""Neonatology"":95}"
